source,target,year,award,weight
Emma Stone,Oscars 2024,2024,Oscars,2
Annette Bening,Oscars 2024,2024,Oscars,1
Lily Gladstone,Oscars 2024,2024,Oscars,1
Sandra Hüller,Oscars 2024,2024,Oscars,1
Carey Mulligan,Oscars 2024,2024,Oscars,1
Da'Vine Joy Randolph,Oscars 2024,2024,Oscars,2
Emily Blunt,Oscars 2024,2024,Oscars,1
Danielle Brooks,Oscars 2024,2024,Oscars,1
America Ferrera,Oscars 2024,2024,Oscars,1
Jodie Foster,Oscars 2024,2024,Oscars,1
Michelle Yeoh,Oscars 2023,2023,Oscars,2
Cate Blanchett,Oscars 2023,2023,Oscars,1
Ana de Armas,Oscars 2023,2023,Oscars,1
Andrea Riseborough,Oscars 2023,2023,Oscars,1
Michelle Williams,Oscars 2023,2023,Oscars,1
Jamie Lee Curtis,Oscars 2023,2023,Oscars,2
Angela Bassett,Oscars 2023,2023,Oscars,1
Hong Chau,Oscars 2023,2023,Oscars,1
Kerry Condon,Oscars 2023,2023,Oscars,1
Stephanie Hsu,Oscars 2023,2023,Oscars,1
Jessica Chastain,Oscars 2022,2022,Oscars,2
Olivia Colman,Oscars 2022,2022,Oscars,1
Penélope Cruz,Oscars 2022,2022,Oscars,1
Nicole Kidman,Oscars 2022,2022,Oscars,1
Kristen Stewart,Oscars 2022,2022,Oscars,1
Ariana DeBose,Oscars 2022,2022,Oscars,2
Jessie Buckley,Oscars 2022,2022,Oscars,1
Judi Dench,Oscars 2022,2022,Oscars,1
Kirsten Dunst,Oscars 2022,2022,Oscars,1
Aunjanue Ellis,Oscars 2022,2022,Oscars,1
Anna Sawai,Emmys 2024,2024,Emmys,2
Jennifer Aniston,Emmys 2024,2024,Emmys,1
Carrie Coon,Emmys 2024,2024,Emmys,1
Maya Erskine,Emmys 2024,2024,Emmys,1
Imelda Staunton,Emmys 2024,2024,Emmys,1
Reese Witherspoon,Emmys 2024,2024,Emmys,1
Jean Smart,Emmys 2024,2024,Emmys,2
Quinta Brunson,Emmys 2024,2024,Emmys,1
Ayo Edebiri,Emmys 2024,2024,Emmys,1
Selena Gomez,Emmys 2024,2024,Emmys,1
Maya Rudolph,Emmys 2024,2024,Emmys,1
Kristen Wiig,Emmys 2024,2024,Emmys,1
Jodie Foster,Emmys 2024,2024,Emmys,2
Brie Larson,Emmys 2024,2024,Emmys,1
Juno Temple,Emmys 2024,2024,Emmys,1
Sofía Vergara,Emmys 2024,2024,Emmys,1
Naomi Watts,Emmys 2024,2024,Emmys,1
Elizabeth Debicki,Emmys 2024,2024,Emmys,2
Christine Baranski,Emmys 2024,2024,Emmys,1
Nicole Beharie,Emmys 2024,2024,Emmys,1
Greta Lee,Emmys 2024,2024,Emmys,1
Lesley Manville,Emmys 2024,2024,Emmys,1
Karen Pittman,Emmys 2024,2024,Emmys,1
Holland Taylor,Emmys 2024,2024,Emmys,1
Liza Colón-Zayas,Emmys 2024,2024,Emmys,2
Carol Burnett,Emmys 2024,2024,Emmys,1
Hannah Einbinder,Emmys 2024,2024,Emmys,1
Janelle James,Emmys 2024,2024,Emmys,1
Sheryl Lee Ralph,Emmys 2024,2024,Emmys,1
Meryl Streep,Emmys 2024,2024,Emmys,1
Jessica Gunning,Emmys 2024,2024,Emmys,2
Dakota Fanning,Emmys 2024,2024,Emmys,1
Lily Gladstone,Emmys 2024,2024,Emmys,1
