id,type,sex,ethnicity,year_of_birth
Emmys,AwardEvent,female,,NA
Golden Globe,AwardEvent,female,,NA
Oscars,AwardEvent,female,,NA
Abby Elliott,Person,female,White,1987
Aja Naomi King,Person,female,Black,1985
Alana Haim,Person,female,White,1991
Alex Borstein,Person,female,White,1971
Alexandra Daddario,Person,female,White,1986
Ali Wong,Person,female,Asian,1982
Alma Pöysti,Person,female,White,1981
Amanda Seyfried,Person,female,White,1985
America Ferrera,Person,female,Latina,1984
Ana de Armas,Person,female,Latina,1988
Andie MacDowell,Person,female,White,1958
Andrea Riseborough,Person,female,White,1981
Angela Bassett,Person,female,Black,1958
Anna Sawai,Person,female,Asian,1992
Annaleigh Ashford,Person,female,White,1985
Annette Bening,Person,female,White,1958
Anya Taylor-Joy,Person,female,White,1996
Ariana DeBose,Person,female,Afro_Latina,1991
Aubrey Plaza,Person,female,White_Latina,1984
Aunjanue Ellis,Person,female,Black ,1969
Ayo Edebiri,Person,female,Black,1995
Bella Ramsey,Person,female,White ,2003
Brie Larson,Person,female,White,1989
Cailee Spaeny,Person,female,White,1998
Caitriona Balfe,Person,female,White,1979
Camila Morrone,Person,female,White,1997
Carey Mulligan,Person,female,White,1985
Carol Burnett,Person,female,White,1933
Carrie Coon,Person,female,White,1981
Cate Blanchett,Person,female,White,1969
Christina Applegate,Person,female,White,1971
Christina Ricci,Person,female,White,1980
Christine Baranski,Person,female,White,1952
Claire Danes,Person,female,White,1979
Connie Britton,Person,female,White,1967
Cynthia Erivo,Person,female,Black,1987
Da’Vine Joy Randolph,Person,female,Black,1986
Daisy Edgar-Jones,Person,female,White,1998
Dakota Fanning,Person,female,White,1994
Danielle Brooks,Person,female,Black,1989
Diane Lane,Person,female,White,1965
Dolly de Leon,Person,female,Asian,1969
Dominique Fishback,Person,female,Black,1991
Elisabeth Moss,Person,female,White,1982
Elizabeth Debicki,Person,female,White,1990
Elizabeth Olsen,Person,female,White ,1989
Elle Fanning,Person,female,White,1998
Emily Blunt,Person,female,White,1983
Emma D’Arcy,Person,female,White,1992
Emma Stone,Person,female,White,1988
Emma Thompson,Person,female,White,1959
Fantasia Barrino,Person,female,Black,1984
Greta Lee,Person,female,Asian ,1983
Hannah Einbinder,Person,female,White,1995
Hannah Waddingham,Person,female,White,1974
Helen Mirren,Person,female,White,1945
Hilary Swank,Person,female,White,1974
