id,type,label
Abby Elliott,Person,Abby Elliott
Aja Naomi King,Person,Aja Naomi King
Alana Haim,Person,Alana Haim
Alex Borstein,Person,Alex Borstein
Alexandra Daddario,Person,Alexandra Daddario
Ali Wong,Person,Ali Wong
Alma Pöysti,Person,Alma Pöysti
Amanda Seyfried,Person,Amanda Seyfried
America Ferrera,Person,America Ferrera
Ana de Armas,Person,Ana de Armas
Andie MacDowell,Person,Andie MacDowell
Andrea Riseborough,Person,Andrea Riseborough
Angela Bassett,Person,Angela Bassett
Anna Sawai,Person,Anna Sawai
Annaleigh Ashford,Person,Annaleigh Ashford
Annette Bening,Person,Annette Bening
Anya Taylor-Joy,Person,Anya Taylor-Joy
Ariana DeBose,Person,Ariana DeBose
Aubrey Plaza,Person,Aubrey Plaza
Aunjanue Ellis,Person,Aunjanue Ellis
Ayo Edebiri,Person,Ayo Edebiri
Bella Ramsey,Person,Bella Ramsey
Brie Larson,Person,Brie Larson
Cailee Spaeny,Person,Cailee Spaeny
Caitriona Balfe,Person,Caitriona Balfe
Camila Morrone,Person,Camila Morrone
Carey Mulligan,Person,Carey Mulligan
Carol Burnett,Person,Carol Burnett
Carrie Coon,Person,Carrie Coon
Cate Blanchett,Person,Cate Blanchett
Christina Applegate,Person,Christina Applegate
Christina Ricci,Person,Christina Ricci
Christine Baranski,Person,Christine Baranski
Claire Danes,Person,Claire Danes
Connie Britton,Person,Connie Britton
Cynthia Erivo,Person,Cynthia Erivo
Da'Vine Joy Randolph,Person,Da'Vine Joy Randolph
Da’Vine Joy Randolph,Person,Da’Vine Joy Randolph
Daisy Edgar-Jones,Person,Daisy Edgar-Jones
Dakota Fanning,Person,Dakota Fanning
Danielle Brooks,Person,Danielle Brooks
Diane Lane,Person,Diane Lane
Dolly de Leon,Person,Dolly de Leon
Dominique Fishback,Person,Dominique Fishback
Elisabeth Moss,Person,Elisabeth Moss
Elizabeth Debicki,Person,Elizabeth Debicki
Elizabeth Olsen,Person,Elizabeth Olsen
Elle Fanning,Person,Elle Fanning
Emily Blunt,Person,Emily Blunt
Emma D’Arcy,Person,Emma D’Arcy
Emma Stone,Person,Emma Stone
Emma Thompson,Person,Emma Thompson
Emmys 2022,AwardEvent,Emmys 2022
Emmys 2023,AwardEvent,Emmys 2023
Emmys 2024,AwardEvent,Emmys 2024
Fantasia Barrino,Person,Fantasia Barrino
Golden Globes 2022,AwardEvent,Golden Globes 2022
Golden Globes 2023,AwardEvent,Golden Globes 2023
Golden Globes 2024,AwardEvent,Golden Globes 2024
Greta Lee,Person,Greta Lee
Hannah Einbinder,Person,Hannah Einbinder
Hannah Waddingham,Person,Hannah Waddingham
Helen Mirren,Person,Helen Mirren
Hilary Swank,Person,Hilary Swank
Holland Taylor,Person,Holland Taylor
Hong Chau,Person,Hong Chau
Imelda Staunton,Person,Imelda Staunton
Issa Rae,Person,Issa Rae
J. Smith-Cameron,Person,J. Smith-Cameron
Jamie Lee Curtis,Person,Jamie Lee Curtis
Janelle James,Person,Janelle James
Jean Smart,Person,Jean Smart
Jenna Ortega,Person,Jenna Ortega
Jennifer Aniston,Person,Jennifer Aniston
Jennifer Coolidge,Person,Jennifer Coolidge
Jennifer Lawrence,Person,Jennifer Lawrence
Jessica Chastain,Person,Jessica Chastain
Jessica Gunning,Person,Jessica Gunning
Jessica Williams,Person,Jessica Williams
Jessie Buckley,Person,Jessie Buckley
